year,gender,official_time,seconds
2006,M,2:36:22,9382.0
2006,M,2:36:25,9385.0
2006,M,2:36:28,9388.0
2006,M,2:36:29,9389.0
2006,M,2:36:30,9390.0
2006,M,2:36:32,9392.0
2006,M,2:36:34,9394.0
2006,M,2:36:38,9398.0
2006,M,2:36:41,9401.0
2006,F,2:36:57,9417.0
2006,M,2:36:58,9418.0
2006,F,2:37:01,9421.0
2006,F,2:37:08,9428.0
2006,M,2:37:18,9438.0
2007,M,2:14:13,8053.0
2007,M,2:14:33,8073.0
2007,M,2:14:47,8087.0
2007,M,2:15:05,8105.0
2007,M,2:15:06,8106.0
2007,M,2:16:04,8164.0
2007,M,2:16:08,8168.0
2007,M,2:16:41,8201.0
2007,M,2:17:04,8224.0
2007,M,2:18:07,8287.0
2007,M,2:19:04,8344.0
2007,M,2:19:54,8394.0
2007,M,2:20:04,8404.0
2007,M,2:20:10,8410.0
2007,M,2:20:18,8418.0
2007,M,2:20:43,8443.0
2007,M,2:21:24,8484.0
2007,M,2:21:34,8494.0
2007,M,2:21:40,8500.0
2007,M,2:22:02,8522.0
2007,M,2:22:13,8533.0
2007,M,2:22:50,8570.0
2007,M,2:23:51,8631.0
2007,M,2:24:01,8641.0
2007,M,2:24:47,8687.0
2007,M,2:24:58,8698.0
2007,M,2:25:44,8744.0
2007,M,2:25:48,8748.0
2007,M,2:25:50,8750.0
2007,M,2:25:54,8754.0
2007,M,2:25:59,8759.0
2007,M,2:26:14,8774.0
2007,M,2:26:25,8785.0
2007,M,2:26:25,8785.0
2007,M,2:26:29,8789.0
2007,M,2:26:36,8796.0
2007,M,2:27:00,8820.0
2007,M,2:27:23,8843.0
2007,M,2:27:29,8849.0
2007,M,2:27:31,8851.0
2007,M,2:28:04,8884.0
2007,M,2:28:46,8926.0
2007,M,2:28:53,8933.0
2007,M,2:28:55,8935.0
2007,M,2:29:02,8942.0
2007,M,2:29:02,8942.0
2007,M,2:29:10,8950.0
2007,F,2:29:18,8958.0
2007,M,2:29:42,8982.0
2007,M,2:29:48,8988.0
2007,F,2:29:58,8998.0
2007,F,2:30:16,9016.0
2007,M,2:30:33,9033.0
2007,M,2:31:14,9074.0
2007,M,2:31:20,9080.0
2007,M,2:31:50,9110.0
2007,M,2:32:05,9125.0
2007,M,2:32:07,9127.0
2007,M,2:32:15,9135.0
2007,M,2:32:29,9149.0
2007,M,2:32:43,9163.0
2007,M,2:32:47,9167.0
2007,M,2:33:02,9182.0
2007,M,2:33:04,9184.0
2007,F,2:33:08,9188.0
2007,M,2:33:18,9198.0
2007,M,2:33:22,9202.0
2007,M,2:33:26,9206.0
2007,M,2:33:33,9213.0
2007,M,2:33:42,9222.0
2007,M,2:33:58,9238.0
2007,M,2:34:21,9261.0
2007,M,2:34:37,9277.0
2007,M,2:34:38,9278.0
2007,M,2:34:54,9294.0
2007,M,2:34:56,9296.0
2007,M,2:35:06,9306.0
2007,F,2:35:09,9309.0
2007,M,2:35:21,9321.0
2007,M,2:35:35,9335.0
2007,M,2:35:53,9353.0
2007,M,2:35:58,9358.0
2007,M,2:35:58,9358.0
2007,M,2:36:04,9364.0
2007,M,2:36:04,9364.0
2007,M,2:36:11,9371.0
2007,M,2:36:12,9372.0
2007,F,2:36:29,9389.0
2007,M,2:36:35,9395.0
2007,M,2:36:43,9403.0
2007,M,2:36:50,9410.0
2007,M,2:36:56,9416.0
2007,M,2:37:21,9441.0
2007,M,2:37:22,9442.0
2007,M,2:37:48,9468.0
2007,M,2:37:49,9469.0
2007,M,2:37:52,9472.0
2007,M,2:37:58,9478.0
2007,M,2:38:05,9485.0
2007,F,2:38:07,9487.0
2008,M,2:07:46,7666.0
2008,M,2:07:46,7666.0
2008,M,2:09:04,7744.0
2008,M,2:10:35,7835.0
2008,M,2:10:47,7847.0
2008,M,2:12:24,7944.0
2008,M,2:14:13,8053.0
2008,M,2:14:47,8087.0
2008,M,2:15:52,8152.0
2008,M,2:16:07,8167.0
2008,M,2:16:13,8173.0
2008,M,2:16:51,8211.0
2008,M,2:18:40,8320.0
2008,M,2:18:55,8335.0
2008,M,2:19:18,8358.0
2008,M,2:20:57,8457.0
2008,M,2:22:22,8542.0
2008,M,2:22:34,8554.0
2008,M,2:23:15,8595.0
2008,M,2:23:36,8616.0
2008,M,2:23:56,8636.0
2008,M,2:24:16,8656.0
2008,M,2:24:27,8667.0
2008,M,2:24:30,8670.0
2008,M,2:25:10,8710.0
2008,M,2:25:14,8714.0
2008,M,2:25:22,8722.0
2008,M,2:25:23,8723.0
2008,F,2:25:25,8725.0
2008,F,2:25:27,8727.0
2008,M,2:25:35,8735.0
2008,M,2:25:50,8750.0
2008,M,2:25:51,8751.0
2008,M,2:26:18,8778.0
2008,F,2:26:34,8794.0
2008,M,2:27:00,8820.0
2008,M,2:27:25,8845.0
2008,M,2:27:33,8853.0
2008,M,2:27:56,8876.0
2008,M,2:27:58,8878.0
2008,M,2:28:06,8886.0
2008,F,2:28:12,8892.0
2008,M,2:28:16,8896.0
2008,M,2:28:19,8899.0
2008,M,2:28:21,8901.0
2008,M,2:28:35,8915.0
2008,M,2:28:51,8931.0
2008,M,2:28:59,8939.0
2008,M,2:29:21,8961.0
2008,M,2:29:30,8970.0
2008,M,2:29:34,8974.0
2008,M,2:29:39,8979.0
2008,M,2:29:40,8980.0
2008,M,2:29:44,8984.0
2008,F,2:29:48,8988.0
2008,M,2:30:18,9018.0
2008,M,2:30:24,9024.0
2008,M,2:30:36,9036.0
2008,M,2:30:44,9044.0
2008,M,2:30:52,9052.0
2008,F,2:30:52,9052.0
2008,M,2:30:53,9053.0
2008,M,2:30:53,9053.0
2008,M,2:30:56,9056.0
2008,M,2:31:02,9062.0
2008,M,2:31:17,9077.0
2008,M,2:31:17,9077.0
2008,M,2:31:18,9078.0
2008,M,2:31:26,9086.0
2008,M,2:31:32,9092.0
